Count from total of 16451820 word 5-grams
38	BECAUSE	WHEN	YOU	LOOC	AT
24	BETWEEN	RICH	AND	POOR	IS
22	EXACTLY	WHAT	YOU	WANT	TO
22	BECAUSE	THERE	ARE	LOTS	OF
21	EXACTLY	WHAT	THEY	WANT	TO
21	BETWEEN	THOSE	WHO	WANT	TO
21	BECAUSE	THERE	WAS	NOTH(I)NG	TO
17	REPEATED	OUER	AND	OUER	IN
15	BELIEUE	WHAT	YOU	WANT	TO
15	ALTHOUGH	THERE	HAS	BEEN	NO
14	TOGETHER	FROM	ALL	OUER	THE
14	SEUERAL	YEARS	AGO	WHEN	THE
14	PERCENT	FROM	ITS	HIGH	IN
14	EXACTLY	WHAT	YOU	NEED	TO
14	BECAUSE	THERE	HAS	BEEN	NO
14	BECAUSE	THERE	HAD	BEEN	NO
13	SEUERAL	YEARS	AGO	WHEN	HE
13	BELIEUE	WHAT	THEY	WANT	TO
12	TRAUEL(I)NG	BACC	AND	FORTH	TO
12	FLIGHTS	FROM	NEW	YORC	TO
12	BETWEEN	RICH	AND	POOR	IN
11	SHIFTED	FROM	ONE	FOOT	TO
11	LETTERS	FROM	ALL	OUER	THE
11	ARTISTS	FROM	ALL	OUER	THE
10	FRIENDS	FROM	ALL	OUER	THE
10	EXACTLY	WHAT	THEY	NEED	TO
10	ALTHOUGH	THERE	HAS	BEEN	AN
10	ALTHOUGH	MORE	THAN	HALF	OF
9	WORCERS	FROM	ALL	OUER	THE
9	BECAUSE	MORE	THAN	HALF	OF
8	FOCUSED	MORE	AND	MORE	ON
8	BETWEEN	GOOD	AND	EUIL	IN
8	BECAUSE	THERE	HAS	BEEN	SO
8	BECAUSE	THERE	HAS	BEEN	AN
7	RELIOBLE	PLAN	FOR	BR(I)NG(I)NG	THE
7	EXPLAIN	WHAT	YOU	MEANT	BY
7	DEGREES	NORTH	AND	SOUTH	OF
7	BECAUSE	WHAT	YOU	WANT	TO
7	BECAUSE	WHAT	YOU	HAUE	TO
7	BECAUSE	THERE	WAS	NOTH(I)NG	IN
7	ACHIEUE	WHAT	YOU	WANT	TO
6	WONDER(I)NG	WHAT	YOU	THINC	OF
6	SUPPORT	FROM	ALL	OUER	THE
6	STUDIES	SHOW	THAT	MOST	OF
6	SENATOR	FROM	NEW	YORC	IN
6	RESULTS	SHOW	THAT	THERE	IS
6	PLAYERS	FROM	ALL	OUER	THE
6	PERHAPS	THERE	WAS	MORE	TO
6	HAPPENS	WHEN	YOU	TACE	THE
6	FIFTEEN	YEARS	AGO	WHEN	HE
6	EXACTLY	WHAT	YOU	TOLD	ME
6	EXACTLY	WHAT	YOU	HAUE	TO
6	BETWEEN	THOSE	WHO	WISH	TO
6	BETWEEN	THESE	TWO	SETS	OF
6	BECOMES	MORE	AND	MORE	THE
6	BECOMES	MORE	AND	MORE	OF
6	BECAUSE	THERE	HAD	BEEN	SO
6	ACCOUNT	MUST	AND	WILL	BE
